gmaps_url,company,rating,category,phone,updatedAt
https://www.google.ca/maps/place/Prime+Cleaning+Solutions/data=!4m7!3m6!1s0x4e40b630b11f6c13:0x61a4159cfb4d7c50!8m2!3d-33.7769082!4d150.9324143!16s%2Fg%2F11stxhv7kv!19sChIJE2wfsTC2QE4RUHxN-5wVpGE?authuser=0&hl=en&rclk=1,Prime Cleaning Solutions,5,,61481571785,1/26/2024 16:09
https://www.google.ca/maps/place/Prestige+Cleaning+Services/data=!4m7!3m6!1s0x6b1faf5ee295cb85:0x9770402de3480d16!8m2!3d-34.2974196!4d146.0262297!16s%2Fg%2F11tp4ghc2x!19sChIJhcuV4l6vH2sRFg1I4y1AcJc?authuser=0&hl=en&rclk=1,Prestige Cleaning Services,5,,61434241515,1/26/2024 16:09
https://www.google.ca/maps/place/Prestige+Cleaning+Melbourne/data=!4m7!3m6!1s0xae18c4912d2baef5:0x7a42dabe9cdda29d!8m2!3d-37.9725665!4d145.0531353!16s%2Fg%2F11q9spxwk4!19sChIJ9a4rLZHEGK4RnaLdnL7aQno?authuser=0&hl=en&rclk=1,Prestige Cleaning Melbourne,4.3,,61435952402,1/26/2024 16:08
https://www.google.ca/maps/place/Premium+Bond+Clean+-+Bond+Cleaning+Melbourne+%7C+End+Of+Lease+Cleaning+Melbourne/data=!4m7!3m6!1s0xaae9e3eb0935b063:0x727ea30187c56533!8m2!3d-37.9725665!4d145.0531353!16s%2Fg%2F11svttmwng!19sChIJY7A1Cevj6aoRM2XFhwGjfnI?authuser=0&hl=en&rclk=1,Premium Bond Clean - Bond Cleaning Melbourne | End Of Lease Cleaning Melbourne,5,,61450909719,1/26/2024 16:08
https://www.google.ca/maps/place/Pram+Cleaning+Newcastle/data=!4m7!3m6!1s0x6b7349dbe94ff49b:0x9d58add9aba05635!8m2!3d-32.7932827!4d151.5143108!16s%2Fg%2F11rqzbq11z!19sChIJm_RP6dtJc2sRNVagq9mtWJ0?authuser=0&hl=en&rclk=1,Pram Cleaning Newcastle,5,,61406242644,1/26/2024 16:07
https://www.google.ca/maps/place/Portland+Cleaning/data=!4m7!3m6!1s0xaa9d9782697d4b3b:0xf4bd81c7d4d7a182!8m2!3d-38.3370937!4d141.5896792!16s%2Fg%2F11hz2ly3_y!19sChIJO0t9aYKXnaoRgqHX1MeBvfQ?authuser=0&hl=en&rclk=1,Portland Cleaning,3.7,,61418316900,1/26/2024 16:07
https://www.google.ca/maps/place/Port+Stephens+Property+Cleaning/data=!4m7!3m6!1s0x6b7383f00415203d:0x2d4e94b71cecbb46!8m2!3d-32.7776626!4d152.0926435!16s%2Fg%2F11fks6f527!19sChIJPSAVBPCDc2sRRrvsHLeUTi0?authuser=0&hl=en&rclk=1,Port Stephens Property Cleaning,4.2,,61409663108,1/26/2024 16:07
https://www.google.ca/maps/place/Port+Stephens+High+Pressure+Cleaning+Service/data=!4m7!3m6!1s0x6b7383dfb3a8eb53:0xdbc85d68795a485f!8m2!3d-32.7441578!4d152.1198456!16s%2Fg%2F11m2s7rc7b!19sChIJU-uos9-Dc2sRX0haeWhdyNs?authuser=0&hl=en&rclk=1,Port Stephens High Pressure Cleaning Service,5,,61419692234,1/26/2024 16:07
https://www.google.ca/maps/place/Port+Stephens+Cleaning+Services/data=!4m7!3m6!1s0x6b73837f1f0f9abd:0xb15af5b1220af5c4!8m2!3d-32.72797!4d152.078075!16s%2Fg%2F11j15mnyh1!19sChIJvZoPH3-Dc2sRxPUKIrH1WrE?authuser=0&hl=en&rclk=1,Port Stephens Cleaning Services,5,,61406204408,1/26/2024 16:07
"https://www.google.ca/maps/place/Polar+End+of+Lease+Cleaning+Melbourne,+Bond+Back+%26+Vacate+Cleaning/data=!4m7!3m6!1s0x6ad64484b9142c87:0x9a02104af5c4eb7a!8m2!3d-37.7617247!4d144.9951441!16s%2Fg%2F11c3pwp0by!19sChIJhywUuYRE1moReuvE9UoQApo?authuser=0&hl=en&rclk=1","Polar End of Lease Cleaning Melbourne, Bond Back & Vacate Cleaning",4.4,,61425399879,1/26/2024 16:06
https://www.google.ca/maps/place/Pinnacle+Carpet+%26+Upholstery+Cleaning/data=!4m7!3m6!1s0xa22d1198f631d493:0x4bd9552310305d12!8m2!3d-33.3146575!4d151.3111836!16s%2Fg%2F11q9x4dk3f!19sChIJk9Qx9pgRLaIREl0wECNV2Us?authuser=0&hl=en&rclk=1,Pinnacle Carpet & Upholstery Cleaning,5,,61406467772,1/26/2024 16:05
https://www.google.ca/maps/place/Pergo+cleaning+services/data=!4m7!3m6!1s0x6ad64ff37386d843:0xd1d55926674e01a!8m2!3d-37.6821627!4d144.9973939!16s%2Fg%2F11fnpzq8bs!19sChIJQ9iGc_NP1moRGuB0ZpJVHQ0?authuser=0&hl=en&rclk=1,Pergo cleaning services,5,,61412514596,1/26/2024 16:04
https://www.google.ca/maps/place/Penguin+Cleaning/data=!4m7!3m6!1s0x6acd4c57130c3c69:0x572bab34e837c4a0!8m2!3d-38.3611268!4d142.4891564!16s%2Fg%2F1tgh332t!19sChIJaTwME1dMzWoRoMQ36DSrK1c?authuser=0&hl=en&rclk=1,Penguin Cleaning,5,,61418528181,1/26/2024 16:03
https://www.google.ca/maps/place/Peachy+Cleaning+Services/data=!4m7!3m6!1s0x6ad615a6a8cbce03:0x7638010489ab1079!8m2!3d-37.9725665!4d145.0531353!16s%2Fg%2F11j6rjrhy0!19sChIJA87LqKYV1moReRCriQQBOHY?authuser=0&hl=en&rclk=1,Peachy Cleaning Services,4.9,,61426243011,1/26/2024 16:03
https://www.google.ca/maps/place/Paula%27s+Cleaning/data=!4m7!3m6!1s0x6ad635c3ab3c2eaf:0x35a0aeb0f98d7744!8m2!3d-37.6621646!4d145.1623975!16s%2Fg%2F1thqgwyv!19sChIJry48q8M11moRRHeN-bCuoDU?authuser=0&hl=en&rclk=1,Paula's Cleaning,5,,61403614131,1/26/2024 16:03
https://www.google.ca/maps/place/Paul+Bruno+Carpet+Cleaning+Service/data=!4m7!3m6!1s0x6ad6151003c94677:0x80dde26e1c75f344!8m2!3d-37.7045392!4d144.7524248!16s%2Fg%2F1tdcx6zq!19sChIJd0bJAxAV1moRRPN1HG7i3YA?authuser=0&hl=en&rclk=1,Paul Bruno Carpet Cleaning Service,5,,61415537998,1/26/2024 16:03
https://www.google.ca/maps/place/Paramount+Contract+Cleaning/data=!4m7!3m6!1s0x6b91003ae6997b3d:0x436057f5d62be37f!8m2!3d-28.1683513!4d153.5384803!16s%2Fg%2F1tznmj4l!19sChIJPXuZ5joAkWsRf-Mr1vVXYEM?authuser=0&hl=en&rclk=1,Paramount Contract Cleaning,3.9,,61418278817,1/26/2024 16:02
https://www.google.ca/maps/place/Panc+Carpet+Cleaning/data=!4m7!3m6!1s0x21d268075bd98855:0x2f5ae1eecaedca95!8m2!3d-33.4659254!4d151.3111836!16s%2Fg%2F11rzwp9b_5!19sChIJVYjZWwdo0iERlcrtyu7hWi8?authuser=0&hl=en&rclk=1,Panc Carpet Cleaning,,,61458032999,1/26/2024 16:02
https://www.google.ca/maps/place/PSA+Cleaners/data=!4m7!3m6!1s0x6b12b9308e835e39:0x9b4d6eb7387d615d!8m2!3d-33.9639335!4d151.0940393!16s%2Fg%2F11hdc2x4k3!19sChIJOV6DjjC5EmsRXWF9OLduTZs?authuser=0&hl=en&rclk=1,PSA Cleaners,1,,61468842022,1/26/2024 16:01
https://www.google.ca/maps/place/PJ+Carpet+Cleaning/data=!4m7!3m6!1s0x6ad61f9015b9e341:0x9d036910d2182123!8m2!3d-38.0797107!4d145.4885768!16s%2Fg%2F11s2my42yp!19sChIJQeO5FZAf1moRIyEY0hBpA50?authuser=0&hl=en&rclk=1,PJ Carpet Cleaning,4.8,,61424942900,1/26/2024 16:01
https://www.google.ca/maps/place/PC+Cleaning/data=!4m7!3m6!1s0x6ad647df6739be03:0x21fc14962c5cb5ad!8m2!3d-37.7308946!4d145.0587424!16s%2Fg%2F11r_ntyw59!19sChIJA745Z99H1moRrbVcLJYU_CE?authuser=0&hl=en&rclk=1,PC Cleaning,5,,61478706996,1/26/2024 16:01
https://www.google.ca/maps/place/Ozzy+Master+Cleaner/data=!4m7!3m6!1s0x6ad6edb3f0fd228f:0x3c3ccec4e841442!8m2!3d-37.6543392!4d144.5817582!16s%2Fg%2F11p6wvy03z!19sChIJjyL98LPt1moRQhSETuzMwwM?authuser=0&hl=en&rclk=1,Ozzy Master Cleaner,5,,61415645861,1/26/2024 16:00
https://www.google.ca/maps/place/Orbit+Australia+Group+Pty+Ltd+%28Professional+Cleaning+Services%29/data=!4m7!3m6!1s0x6b731588fe704263:0x6587983002dde262!8m2!3d-32.8782811!4d151.7230308!16s%2Fg%2F11h7pj425b!19sChIJY0Jw_ogVc2sRYuLdAjCYh2U?authuser=0&hl=en&rclk=1,Orbit Australia Group Pty Ltd (Professional Cleaning Services),4.6,,61421480797,1/26/2024 15:59
https://www.google.ca/maps/place/Omega+Carpet+Cleaning/data=!4m7!3m6!1s0x6ad61401be4cd3e5:0x2b49db083c667f1c!8m2!3d-37.811289!4d144.972573!16s%2Fg%2F1tfbt055!19sChIJ5dNMvgEU1moRHH9mPAjbSSs?authuser=0&hl=en&rclk=1,Omega Carpet Cleaning,4.9,,61406996819,1/26/2024 15:58
https://www.google.ca/maps/place/Oh+So+Clean+Carpet+and+Upholstery+Cleaning/data=!4m7!3m6!1s0x6b12af949c8e0651:0x32efe0a1d7b84ace!8m2!3d-33.8081103!4d151.1782821!16s%2Fg%2F11fpmh4y80!19sChIJUQaOnJSvEmsRzkq416Hg7zI?authuser=0&hl=en&rclk=1,Oh So Clean Carpet and Upholstery Cleaning,4.4,,61406450311,1/26/2024 15:58
