gmaps_url,company,rating,category,phone,latitude,longitude,updatedAt
https://www.google.ca/maps/place/Mighty+Dry+Carpet+Cleaning/data=!4m7!3m6!1s0x6b129bc73fb206a9:0xd05370425308772!8m2!3d-33.6446874!4d150.9085876!16s%2Fg%2F1q62bkvj0!19sChIJqQayP8ebEmsRcocwJQQ3BQ0?authuser=0&hl=en&rclk=1,Mighty Dry Carpet Cleaning,5,Carpet cleaning service,61400224484,-33.6446874,150.9085876,1/16/2024 9:02
https://www.google.ca/maps/place/Border+Carpet+%26+Window+Cleaning/data=!4m7!3m6!1s0x6b9a4bf7106cc49b:0x20ea66c0ea378202!8m2!3d-29.4561578!4d153.2039783!16s%2Fg%2F11hmp_j868!19sChIJm8RsEPdLmmsRAoI36sBm6iA?authuser=0&hl=en&rclk=1,Border Carpet & Window Cleaning,5,Carpet cleaning service,61400269199,-29.4561578,153.2039783,1/15/2024 12:18
https://www.google.ca/maps/place/Tony%27s+Xtreme+Kleen/data=!4m7!3m6!1s0x6b98b615110d6683:0x9221ab87249d3720!8m2!3d-29.7264108!4d151.6777543!16s%2Fg%2F1pp2vgk77!19sChIJg2YNERW2mGsRIDedJIerIZI?authuser=0&hl=en&rclk=1,Tony's Xtreme Kleen,4.3,Carpet cleaning service,61400282737,-29.7264108,151.6777543,1/16/2024 10:33
https://www.google.ca/maps/place/Pete+Black+Carpet+Cleaning/data=!4m7!3m6!1s0x6b16535cea1ab249:0x1f7297e50325b3d0!8m2!3d-35.2723979!4d149.3689641!16s%2Fg%2F11cjhrsb_z!19sChIJSbIa6lxTFmsR0LMlA-WXch8?authuser=0&hl=en&rclk=1,Pete Black Carpet Cleaning,4.8,Carpet cleaning service,61400425326,-35.2723979,149.3689641,1/16/2024 9:26
https://www.google.ca/maps/place/Carpet+Cleaner+Brisbane/data=!4m7!3m6!1s0x6b914ba2b6cddb93:0xad7fde3cde1800cf!8m2!3d-27.630598!4d152.8848079!16s%2Fg%2F11c1wyzpzf!19sChIJk9vNtqJLkWsRzwAY3jzef60?authuser=0&hl=en&rclk=1,Carpet Cleaner Brisbane,4.5,Carpet cleaning service,61400860786,-27.630598,152.8848079,1/16/2024 5:43
https://www.google.ca/maps/place/ACGAGA+Cleaning+Servies/data=!4m7!3m6!1s0x6b9bdb9b3018d63b:0x17853f4e485dde4d!8m2!3d-29.6836119!4d152.9717498!16s%2Fg%2F11qh5n_j8j!19sChIJO9YYMJvbm2sRTd5dSE4_hRc?authuser=0&hl=en&rclk=1,ACGAGA Cleaning Servies,3.7,Carpet cleaning service,61401230572,-29.6836119,152.9717498,1/15/2024 11:40
https://www.google.ca/maps/place/forever+shine+carpet+cleaning/data=!4m7!3m6!1s0x482e77acf081043f:0x8fa6792443d40b64!8m2!3d-34.7479487!4d149.7253136!16s%2Fg%2F11rdc7vmxd!19sChIJPwSB8Kx3LkgRZAvUQyR5po8?authuser=0&hl=en&rclk=1,forever shine carpet cleaning,5,Carpet cleaning service,61401244285,-34.7479487,149.7253136,1/16/2024 10:59
https://www.google.ca/maps/place/Lake+Macquarie+Carpet+Cleaning/data=!4m7!3m6!1s0x696e3ced62edf025:0x96542516164424cd!8m2!3d-33.0178669!4d151.5779209!16s%2Fg%2F11sv10rm83!19sChIJJfDtYu08bmkRzSREFhYlVJY?authuser=0&hl=en&rclk=1,Lake Macquarie Carpet Cleaning,4.8,Carpet cleaning service,61401247241,-33.0178669,151.5779209,1/16/2024 8:13
https://www.google.ca/maps/place/Mighty+floor+cleaning/data=!4m7!3m6!1s0x6b12c9e722f9e85f:0x5eba64be884a5ab7!8m2!3d-34.0537451!4d151.1538378!16s%2Fg%2F11rvj0g3xl!19sChIJX-j5IufJEmsRt1pKiL5kul4?authuser=0&hl=en&rclk=1,Mighty floor cleaning,5,Carpet cleaning service,61401418418,-34.0537451,151.1538378,1/16/2024 9:03
https://www.google.ca/maps/place/Enviroclean+Home+Services+-+Domestic+Cleaning+Service/data=!4m7!3m6!1s0x6b17ace6e8a8bd29:0x6b459c0c655858c7!8m2!3d-35.207476!4d149.0775907!16s%2Fg%2F11bvv4nkvj!19sChIJKb2o6OasF2sRx1hYZQycRWs?authuser=0&hl=en&rclk=1,Enviroclean Home Services - Domestic Cleaning Service,5,Carpet cleaning service,61401460715,-35.207476,149.0775907,1/16/2024 7:02
https://www.google.ca/maps/place/Jindabyne+Carpet+Cleaning/data=!4m7!3m6!1s0x6b3cc5ebbb1e3391:0xa574848700016b26!8m2!3d-36.4194125!4d148.6232445!16s%2Fg%2F11h0t0pgjh!19sChIJkTMeu-vFPGsRJmsBAIeEdKU?authuser=0&hl=en&rclk=1,Jindabyne Carpet Cleaning,5,,61401462569,-36.4194125,148.6232445,1/16/2024 8:03
https://www.google.ca/maps/place/Hello+Carpet+Cleaning/data=!4m7!3m6!1s0x6b12b087801a8993:0x513fbe174c5f79e6!8m2!3d-33.7844326!4d150.9807855!16s%2Fg%2F11c0r5x0vh!19sChIJk4kagIewEmsR5nlfTBe-P1E?authuser=0&hl=en&rclk=1,Hello Carpet Cleaning,5,Cleaning service,61401483503,-33.7844326,150.9807855,1/16/2024 7:30
https://www.google.ca/maps/place/SMS+Cleaning+Solutions/data=!4m7!3m6!1s0x6b131728a3913759:0x836e1da02318f934!8m2!3d-34.148288!4d150.8508369!16s%2Fg%2F11c5fyvd3f!19sChIJWTeRoygXE2sRNPkYI6AdboM?authuser=0&hl=en&rclk=1,SMS Cleaning Solutions,5,Carpet cleaning service,61401769752,-34.148288,150.8508369,1/16/2024 9:47
https://www.google.ca/maps/place/LB+Carpet+Cleaning/data=!4m7!3m6!1s0x6b1483f51f4d9a33:0x3203ab7ae99f6cc2!8m2!3d-35.0144532!4d150.6448302!16s%2Fg%2F11h_c7f_0x!19sChIJM5pNH_WDFGsRwmyf6XqrAzI?authuser=0&hl=en&rclk=1,LB Carpet Cleaning,4.7,Carpet cleaning service,61401985355,-35.0144532,150.6448302,1/16/2024 8:12
https://www.google.ca/maps/place/FibreCare+Carpet+Cleaning/data=!4m7!3m6!1s0x6b72d9a65906f2ff:0xfa2182d6ea86f949!8m2!3d-33.1990994!4d151.5277805!16s%2Fg%2F11pd2zrgft!19sChIJ__IGWabZcmsRSfmG6taCIfo?authuser=0&hl=en&rclk=1,FibreCare Carpet Cleaning,4.7,Carpet cleaning service,61402000470,-33.1990994,151.5277805,1/16/2024 7:07
https://www.google.ca/maps/place/Energized+Carpet+Cleaning/data=!4m7!3m6!1s0x6b12c162080bc4c7:0xf3cd68487b6fd64a!8m2!3d-34.0851958!4d151.0172837!16s%2Fg%2F11_r9p3z8!19sChIJx8QLCGLBEmsRStZve0hozfM?authuser=0&hl=en&rclk=1,Energized Carpet Cleaning,5,Carpet cleaning service,61402037066,-34.0851958,151.0172837,1/16/2024 7:00
https://www.google.ca/maps/place/Unitek+Services/data=!4m7!3m6!1s0x6b74374953a1f521:0x900dbdc9a5e74887!8m2!3d-32.2290864!4d152.5150687!16s%2Fg%2F11c3tgkj6k!19sChIJIfWhU0k3dGsRh0jnpcm9DZA?authuser=0&hl=en&rclk=1,Unitek Services,5,Carpet cleaning service,61402041614,-32.2290864,152.5150687,1/16/2024 10:41
https://www.google.ca/maps/place/Lindette+Carpet+Services/data=!4m7!3m6!1s0x6b12ad98fac501ad:0x6a3953be00cafc5!8m2!3d-32.83115!4d150.0523617!16s%2Fg%2F11_s8zdxz!19sChIJrQHF-pitEmsRxa8M4DuVowY?authuser=0&hl=en&rclk=1,Lindette Carpet Services,5,Carpet installer,61402118766,-32.83115,150.0523617,1/16/2024 8:17
https://www.google.ca/maps/place/Central+Coast+Domestic+Services/data=!4m7!3m6!1s0x6b72ced625b628a1:0x3e6d71adf6e7d7f2!8m2!3d-33.3723366!4d151.4665439!16s%2Fg%2F12hkqyr_8!19sChIJoSi2JdbOcmsR8tfn9q1xbT4?authuser=0&hl=en&rclk=1,Central Coast Domestic Services,5,Carpet cleaning service,61402141516,-33.3723366,151.4665439,1/16/2024 5:49
https://www.google.ca/maps/place/Charm+Carpet+Cleaning/data=!4m7!3m6!1s0x6b12f1a605b163bf:0x2f6ae41c36c847b3!8m2!3d-34.064228!4d150.7843862!16s%2Fg%2F1s04g8gpf!19sChIJv2OxBabxEmsRs0fINhzkai8?authuser=0&hl=en&rclk=1,Charm Carpet Cleaning,4.7,Carpet cleaning service,61402245347,-34.064228,150.7843862,1/16/2024 5:49
https://www.google.ca/maps/place/A%26A+Spectrum+carpet+dyeing+Sydney/data=!4m7!3m6!1s0x6b12a503837835ff:0x624a637bc8a4a100!8m2!3d-33.8482439!4d150.9319747!16s%2Fg%2F11hzz7cpfy!19sChIJ_zV4gwOlEmsRAKGkyHtjSmI?authuser=0&hl=en&rclk=1,A&A Spectrum carpet dyeing Sydney,5,Carpet cleaning service,61402328223,-33.8482439,150.9319747,1/15/2024 11:36
https://www.google.ca/maps/place/Crikey+Cleaner/data=!4m7!3m6!1s0x6b90f917c096ab5d:0xb5de8bdcefc0158f!8m2!3d-28.3118693!4d153.5706779!16s%2Fg%2F11rd2c8bg3!19sChIJXauWwBf5kGsRjxXA79yL3rU?authuser=0&hl=en&rclk=1,Crikey Cleaner,5,Carpet cleaning service,61402415172,-28.3118693,153.5706779,1/16/2024 6:20
