gmaps_url,company,rating,category,phone,website,claim_status,latitude,longitude,updatedAt
"https://www.google.ca/maps/place/NB+Handyman+-+Bathroom+Renovation,+Tiling,+Retaining+Wall,+Pool+Maintenance/data=!4m7!3m6!1s0x6b0d532f21d111cd:0xf8f1830ff3a84fd0!8m2!3d-33.6448221!4d151.3148428!16s%2Fg%2F11pwslnfmn!19sChIJzRHRIS9TDWsR0E-o8w-D8fg?authuser=0&hl=en&rclk=1","NB Handyman - Bathroom Renovation, Tiling, Retaining Wall, Pool Maintenance",5,Tile contractor,61402744833,nbhandyman.com.au,Claimed,-33.6448221,151.3148428,10/12/2023 13:32
https://www.google.ca/maps/place/Pipewerx+Leak+Detection/data=!4m7!3m6!1s0x6b93651bbbd88989:0xc52353c7c56d4088!8m2!3d-25.2787473!4d151.8406204!16s%2Fg%2F11fhymm7jp!19sChIJiYnYuxtlk2sRiEBtxcdTI8U?authuser=0&hl=en&rclk=1,Pipewerx Leak Detection,4.7,Swimming pool repair service,61484516939,pipewerxqld.com.au,Claimed,-25.2787473,151.8406204,10/12/2023 13:49
https://www.google.ca/maps/place/SMB+Pools+and+Handyman+Services/data=!4m7!3m6!1s0x6b72cbc09f9a010d:0xf8e5cbd4208d69ce!8m2!3d-33.3843256!4d151.3486816!16s%2Fg%2F11j4k8cn_l!19sChIJDQGan8DLcmsRzmmNINTL5fg?authuser=0&hl=en&rclk=1,SMB Pools and Handyman Services,5,Swimming pool repair service,61488387916,smb-servicesco-pl.business.site,Claimed,-33.3843256,151.3486816,10/13/2023 12:42
https://www.google.ca/maps/place/Macgyver+Maintenance+and+Pool+care/data=!4m7!3m6!1s0x2a329532bef71ce1:0xea7b8ac52fa7a331!8m2!3d-32.0445681!4d115.9931521!16s%2Fg%2F11l7z68cj7!19sChIJ4Rz3vjKVMioRMaOnL8WKe-o?authuser=0&hl=en&rclk=1,Macgyver Maintenance and Pool care,,Handyman/Handywoman/Handyperson,61401380479,,Claimed,-32.0445681,115.9931521,10/15/2023 18:18
https://www.google.ca/maps/place/NQ+Pool+Warehouse/data=!4m7!3m6!1s0x6bd5f9955532c177:0xa0949e35aaf76638!8m2!3d-19.3461513!4d146.8408195!16s%2Fg%2F1pty044x8!19sChIJd8EyVZX51WsROGb3qjWelKA?authuser=0&hl=en&rclk=1,NQ Pool Warehouse,4.5,Swimming pool contractor,61412536565,nqpoolwarehouse.com.au,Claimed,-19.3461513,146.8408195,10/16/2023 7:54
https://www.google.ca/maps/place/Beachview+Property+Maintenance/data=!4m7!3m6!1s0x6b938f8f0369b9f7:0xaaf6fbe7a492b660!8m2!3d-26.90803!4d152.9446025!16s%2Fg%2F11gyc0bk96!19sChIJ97lpA4-Pk2sRYLaSpOf79qo?authuser=0&hl=en&rclk=1,Beachview Property Maintenance,5,Swimming pool,61410581881,,Unclaimed,-26.90803,152.9446025,10/17/2023 8:09
https://www.google.ca/maps/place/Everything+Pool+Safety+%26+Compliance/data=!4m7!3m6!1s0xa4239c9585c65bed:0x6ca9f427976e2e8e!8m2!3d-27.0635319!4d152.9845295!16s%2Fg%2F11rpdf5qsn!19sChIJ7VvGhZWcI6QRji5ulyf0qWw?authuser=0&hl=en&rclk=1,Everything Pool Safety & Compliance,5,Swimming pool contractor,61418105778,everythingpoolsafety.com.au,Claimed,-27.0635319,152.9845295,10/17/2023 8:21
https://www.google.ca/maps/place/Alpha+Pool+Safety+Inspections/data=!4m7!3m6!1s0x6b12861d5f8eaaad:0x4e6630d08ce05deb!8m2!3d-33.7485813!4d150.6620116!16s%2Fg%2F11h1vh37t2!19sChIJraqOXx2GEmsR613gjNAwZk4?authuser=0&hl=en&rclk=1,Alpha Pool Safety Inspections,5,Building inspector,61490035067,alphapoolsafetyinspections.com.au,Unclaimed,-33.7485813,150.6620116,12/6/2023 18:14
https://www.google.ca/maps/place/Bayside+Peninsula+Pool+Compliance/data=!4m7!3m6!1s0xad9e32da4da0cc73:0x30f9a105ddfbeffe!8m2!3d-37.9879581!4d145.1363332!16s%2Fg%2F11s2qm_yvn!19sChIJc8ygTdoynq0R_u_73QWh-TA?authuser=0&hl=en&rclk=1,Bayside Peninsula Pool Compliance,5,Home inspector,61403577254,bppc.com.au,Claimed,-37.9879581,145.1363332,12/6/2023 18:42
https://www.google.ca/maps/place/Blue+Water+Pool+Safety+Inspection/data=!4m7!3m6!1s0xa48931eb71088313:0xa87b9dc0b0897f9d!8m2!3d-38.0828118!4d145.2689668!16s%2Fg%2F11sss2wx8w!19sChIJE4MIcesxiaQRnX-JsMCde6g?authuser=0&hl=en&rclk=1,Blue Water Pool Safety Inspection,5,Building inspector,61431129059,bluewaterpoolinspection.com.au,Claimed,-38.0828118,145.2689668,12/6/2023 18:46
