keyword,lat,lon
Handyman,-35.2777,149.119
Handyman,-35.2777,149.1189
Handyman,-12.458684,130.83668
Handyman,-12.458684,130.83668
Handyman,-12.458684,130.83668
Handyman,-12.428017,130.873315
Handyman,-12.381806,130.866242
Handyman,-12.381806,130.866242
Handyman,-12.381806,130.866242
Handyman,-12.39614166,130.8502369
Handyman,-12.381806,130.866242
Handyman,-12.381806,130.866242
Handyman,-12.35911956,130.8885151
Handyman,-12.381806,130.866242
Handyman,-12.381806,130.866242
Handyman,-12.35811947,130.8959029
Handyman,-12.381806,130.866242
Handyman,-12.381806,130.866242
Handyman,-12.381806,130.866242
Handyman,-12.381806,130.866242
Handyman,-12.381806,130.866242
Handyman,-12.381806,130.866242
Handyman,-12.381806,130.866242
Handyman,-12.39124885,130.89047
Handyman,-12.34638634,130.9209831
Handyman,-12.38479951,130.9268602
Handyman,-12.404778,130.916098
Handyman,-12.404778,130.916098
Handyman,-12.404778,130.916098
Handyman,-12.404778,130.916098
Handyman,-12.404778,130.916098
Handyman,-12.404778,130.916098
Handyman,-12.404778,130.916098
Handyman,-12.404778,130.916098
Handyman,-12.404778,130.916098
Handyman,-12.404778,130.916098
Handyman,-12.381806,130.866242
Handyman,-12.3718,130.869
Handyman,-12.428017,130.873315
Handyman,-12.428017,130.873315
Handyman,-12.428017,130.873315
Handyman,-12.428017,130.873315
Handyman,-12.428017,130.873315
Handyman,-12.4255956,130.8664593
Handyman,-12.428017,130.873315
Handyman,-12.428017,130.873315
Handyman,-12.428017,130.873315
Handyman,-12.4123871,130.880692
Handyman,-12.428017,130.873315
Handyman,-12.428017,130.873315
Handyman,-12.428017,130.873315
Handyman,-12.428017,130.873315
Handyman,-12.428017,130.873315
Handyman,-12.428017,130.873315
Handyman,-12.428017,130.873315
Handyman,-12.428017,130.873315
Handyman,-12.428017,130.873315
Handyman,-12.428017,130.873315
Handyman,-13.643283,136.947051
Handyman,-11.75841975,130.6254299
Handyman,-11.75841975,130.6254299
Handyman,-11.75841975,130.6254299
